Time,"symbol",last_ask,last_bid,avg_spread
2026-08-06 01:01:00.000000000,"GC\Z26",4322.5,4322.1,0.3622991347342425
2026-08-06 01:00:00.000000000,"GC\Z26",4321.6,4321.3,0.34929245283016597
2026-08-06 00:59:00.000000000,"GC\Z26",4321.8,4321.5,0.3093023255811299
2026-08-06 00:58:00.000000000,"GC\Z26",4321.9,4321.5,0.3575875486381627
2026-08-06 00:57:00.000000000,"GC\V26",4290,4289.5,0.4712742980561335
2026-08-06 00:57:00.000000000,"GC\Z26",4321.7,4321.3,0.37816091954017345
2026-08-06 00:56:00.000000000,"GC\U26",4274.1,4273.6,0.47021276595745454
2026-08-06 00:56:00.000000000,"GC\Z26",4321,4320.7,0.3380255941499578
2026-08-06 00:55:00.000000000,"GC\Z26",4321.5,4321.2,0.3697286012526189
2026-08-06 00:54:00.000000000,"GC\Z26",4318.8,4318.4,0.3361655773420394
2026-08-06 00:53:00.000000000,"GC\Z26",4320.1,4319.8,0.3271402550091363
2026-08-06 00:52:00.000000000,"GC\V26",4289.6,4289.2,0.45442834138488625
2026-08-06 00:52:00.000000000,"GC\Z26",4321.3,4321,0.35513866231648344
2026-08-06 00:51:00.000000000,"GC\U26",4275.1,4274.5,0.6606822262118802
2026-08-06 00:51:00.000000000,"GC\Z26",4321.8,4321.5,0.32284345047925417
2026-08-06 00:50:00.000000000,"GC\V26",4288.1,4287.7,0.4029469548133388
2026-08-06 00:50:00.000000000,"GC\Z26",4319.8,4319.5,0.31329588014994764
2026-08-06 00:49:00.000000000,"GC\V26",4288.1,4287.9,0.3533018867924425
2026-08-06 00:49:00.000000000,"GC\U26",4273,4272.7,0.5148571428571346
2026-08-06 00:49:00.000000000,"GC\Z26",4319.9,4319.7,0.32247191011227233
2026-08-06 00:48:00.000000000,"GC\V26",4288,4287.6,0.40883838383837146
2026-08-06 00:48:00.000000000,"GC\Z26",4319.7,4319.3,0.3165432098766483
2026-08-06 00:47:00.000000000,"GC\V26",4287,4286.6,0.4401666666666127
2026-08-06 00:47:00.000000000,"GC\Z26",4318.7,4318.4,0.34607679465771923
2026-08-06 00:46:00.000000000,"GC\U26",4271.8,4271.1,0.7291208791208831
2026-08-06 00:46:00.000000000,"GC\Z26",4318.4,4318.1,0.3618037135279301
2026-08-06 00:45:00.000000000,"GC\V26",4286.9,4286.4,0.46186440677964713
2026-08-06 00:45:00.000000000,"GC\U26",4271.9,4271.1,0.5563348416290778
2026-08-06 00:45:00.000000000,"GC\Z26",4318.6,4318.2,0.37446457990110105
2026-08-06 00:44:00.000000000,"GC\Z26",4317.8,4317.5,0.3634980988593758
2026-08-06 00:43:00.000000000,"GC\U26",4273.9,4273.4,0.46419213973798806
2026-08-06 00:43:00.000000000,"GC\Z26",4320.6,4320.2,0.36810477657942237
2026-08-06 00:42:00.000000000,"GC\V26",4287.5,4287,0.47307692307691257
2026-08-06 00:42:00.000000000,"GC\U26",4272.5,4271.8,0.7622302158273663
2026-08-06 00:42:00.000000000,"GC\Z26",4319.2,4318.8,0.37651757188498663
2026-08-06 00:41:00.000000000,"GC\V26",4286.9,4286.4,0.45823665893268084
2026-08-06 00:41:00.000000000,"GC\Z26",4318.6,4318.2,0.3649438202247796
2026-08-06 00:40:00.000000000,"GC\Z26",4319.3,4319,0.3385167464115115
2026-08-06 00:39:00.000000000,"GC\V26",4288,4287.5,0.454240282685505
2026-08-06 00:39:00.000000000,"GC\Z26",4319.7,4319.3,0.35424028268552843
2026-08-06 00:38:00.000000000,"GC\Z26",4319.8,4319.5,0.33261296660122025
2026-08-06 00:37:00.000000000,"GC\U26",4273.7,4272.9,0.6976993865030264
2026-08-06 00:37:00.000000000,"GC\Z26",4320.4,4320,0.330215827338102
2026-08-06 00:36:00.000000000,"GC\U26",4272.8,4272.1,0.6854901960783988
2026-08-06 00:36:00.000000000,"GC\Z26",4319.4,4319,0.39078282828280414
2026-08-06 00:35:00.000000000,"GC\Z26",4318.1,4317.7,0.38988391376449477
2026-08-06 00:34:00.000000000,"GC\V26",4284.4,4283.9,0.49235924932978214
2026-08-06 00:34:00.000000000,"GC\Z26",4316.1,4315.7,0.3944367176634333
2026-08-06 00:33:00.000000000,"GC\Z26",4317.7,4317.3,0.40380047505939537
2026-08-06 00:32:00.000000000,"GC\Z26",4318.4,4318,0.37730600292822813
2026-08-06 00:31:00.000000000,"GC\V26",4286.6,4286.1,0.4385620915032492
2026-08-06 00:31:00.000000000,"GC\Z26",4318.3,4317.9,0.33878378378381363
2026-08-06 00:30:00.000000000,"GC\V26",4283.3,4282.9,0.4662377994676001
2026-08-06 00:30:00.000000000,"GC\U26",4268.4,4267.8,0.6681019332161713
2026-08-06 00:30:00.000000000,"GC\Z26",4315,4314.7,0.37354202401370784
2026-08-06 00:29:00.000000000,"GC\V26",4283,4282.6,0.43900539245059417
2026-08-06 00:29:00.000000000,"GC\Z26",4314.7,4314.4,0.3380895522388142
2026-08-06 00:28:00.000000000,"GC\V26",4287.7,4287.2,0.538866396761178
2026-08-06 00:28:00.000000000,"GC\Z26",4319.4,4319.1,0.3569482288828412
2026-08-06 00:27:00.000000000,"GC\Z26",4320.6,4320.3,0.35158730158715146
2026-08-06 00:26:00.000000000,"GC\V26",4288.5,4288,0.48045977011492896
2026-08-06 00:26:00.000000000,"GC\U26",4273.6,4272.9,0.6197115384615746
2026-08-06 00:26:00.000000000,"GC\Z26",4320.3,4319.9,0.3830242510698716
2026-08-06 00:25:00.000000000,"GC\Z26",4320.1,4319.7,0.38357723577228026
2026-08-06 00:24:00.000000000,"GC\V26",4289.7,4289.1,0.4663101604278175
2026-08-06 00:24:00.000000000,"GC\Z26",4321.5,4321,0.3679946879149733
2026-08-06 00:23:00.000000000,"GC\V26",4290.4,4290,0.474784110535322
2026-08-06 00:23:00.000000000,"GC\Z26",4322.2,4321.9,0.37512953367876717
2026-08-06 00:22:00.000000000,"GC\Z26",4321.5,4321.1,0.38755458515291785
2026-08-06 00:21:00.000000000,"GC\V26",4288.5,4288.2,0.4414125200641675
2026-08-06 00:21:00.000000000,"GC\Z26",4320.3,4320.1,0.3414125200641745
2026-08-06 00:20:00.000000000,"GC\V26",4289,4288.6,0.47857142857139207
2026-08-06 00:20:00.000000000,"GC\U26",4274.1,4273.5,0.672911392405058
2026-08-06 00:20:00.000000000,"GC\Z26",4320.8,4320.5,0.3797280593325158
2026-08-06 00:19:00.000000000,"GC\Z26",4321.8,4321.4,0.3881548974943396
2026-08-06 00:18:00.000000000,"GC\V26",4290.3,4289.8,0.4705454545454268
2026-08-06 00:18:00.000000000,"GC\Z26",4322.1,4321.7,0.37054545454549953
2026-08-06 00:17:00.000000000,"GC\V26",4290.6,4290.2,0.46978260869567073
2026-08-06 00:17:00.000000000,"GC\Z26",4322.4,4322.1,0.37024070021872046
2026-08-06 00:16:00.000000000,"GC\V26",4290.1,4289.7,0.46407185628739794
2026-08-06 00:16:00.000000000,"GC\U26",4275.2,4274.6,0.6060092449922079
2026-08-06 00:16:00.000000000,"GC\Z26",4321.9,4321.6,0.36489361702126194
2026-08-06 00:15:00.000000000,"GC\Z26",4322.5,4322.2,0.37723004694828804
2026-08-06 00:14:00.000000000,"GC\Z26",4322.7,4322.3,0.38324742268044704
2026-08-06 00:13:00.000000000,"GC\V26",4293.3,4292.9,0.4401559454190966
2026-08-06 00:13:00.000000000,"GC\U26",4278.4,4277.8,0.5318906605922386
2026-08-06 00:13:00.000000000,"GC\Z26",4325.1,4324.8,0.3397312859885238
2026-08-06 00:12:00.000000000,"GC\Z26",4324.8,4324.5,0.3500872600349189
2026-08-06 00:11:00.000000000,"GC\U26",4278.7,4278.3,0.44970414201182896
2026-08-06 00:11:00.000000000,"GC\Z26",4325.4,4325.1,0.3507482993196737
2026-08-06 00:10:00.000000000,"GC\V26",4293.2,4292.8,0.42578125000002665
2026-08-06 00:10:00.000000000,"GC\Z26",4325,4324.7,0.32685546874993765
2026-08-06 00:09:00.000000000,"GC\V26",4293.6,4293.2,0.4152475247524425
2026-08-06 00:09:00.000000000,"GC\Z26",4325.4,4325.1,0.32095984329091604
2026-08-06 00:08:00.000000000,"GC\U26",4277.3,4276.7,0.7059288537549655
2026-08-06 00:08:00.000000000,"GC\Z26",4324,4323.7,0.40658800393314026
2026-08-06 00:07:00.000000000,"GC\Z26",4323,4322.6,0.41209213051820237
2026-08-06 00:06:00.000000000,"GC\Z26",4322.3,4322,0.4123726346434289
2026-08-06 00:05:00.000000000,"GC\V26",4292.5,4292,0.4787553648068355
2026-08-06 00:05:00.000000000,"GC\U26",4277.6,4276.9,0.6691304347825755
2026-08-06 00:05:00.000000000,"GC\Z26",4324.3,4323.9,0.38856243441761346
2026-08-06 00:04:00.000000000,"GC\Z26",4322.3,4321.9,0.40204081632663824
2026-08-06 00:03:00.000000000,"GC\Z26",4322.1,4321.7,0.40303430079153274
2026-08-06 00:02:00.000000000,"GC\V26",4290.7,4290.2,0.4921810699588324
2026-08-06 00:02:00.000000000,"GC\U26",4275.8,4275.1,0.6914186851210584
2026-08-06 00:02:00.000000000,"GC\Z26",4322.5,4322.1,0.40175557056040145
2026-08-06 00:01:00.000000000,"GC\V26",4290.9,4290.3,0.45083612040129023
2026-08-06 00:01:00.000000000,"GC\Z26",4322.7,4322.2,0.3564830272676751
2026-08-05 23:33:00.000000000,"GC\V26",4292.4,4292,0.5117483811285997
2026-08-05 23:33:00.000000000,"GC\U26",4277.6,4277,0.6114043355324932
2026-08-05 23:33:00.000000000,"GC\Z26",4324.1,4323.8,0.4141929499072719
2026-08-05 23:32:00.000000000,"GC\V26",4293.3,4292.8,0.4933694181326146
2026-08-05 23:32:00.000000000,"GC\Z26",4325,4324.6,0.394149659864001
2026-08-05 23:31:00.000000000,"GC\V26",4294.3,4293.7,0.4908709338929736
2026-08-05 23:31:00.000000000,"GC\U26",4279.3,4278.6,0.5390552995391691
2026-08-05 23:31:00.000000000,"GC\Z26",4326,4325.5,0.3945492662473419
2026-08-05 23:30:00.000000000,"GC\V26",4293.8,4293.4,0.4815631262525127
2026-08-05 23:30:00.000000000,"GC\U26",4278.8,4278.3,0.5605854322668754
2026-08-05 23:30:00.000000000,"GC\Z26",4325.5,4325.2,0.38819444444440593
